,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중,상장주식수
94,1470,삼부토건,"4,800",,-1,"4,850","4,850","4,770","49,290","237,226,395","119,055,028,800",0.01,"24,803,131"
95,1500,현대차증권,"10,100",,1,"9,950","10,100","9,910","22,816","228,373,400","296,304,821,100",0.02,"29,337,111"
96,1510,SK증권,711,,0,706,711,706,"633,047","447,945,973","336,011,611,581",0.02,"472,590,171"
97,1515,SK증권우,"3,365",,0.2,"3,370","3,395","3,340","30,007","100,737,440","13,165,609,610",0,"3,912,514"
98,1520,동양,"1,980",,0.8,"1,950","1,990","1,950","216,970","428,250,630","472,594,444,740",0.03,"238,684,063"
99,1525,동양우,"8,560",,-0.4,"8,590","8,590","8,440",992,"8,448,620","5,287,777,360",0,"617,731"
100,1527,동양2우B,"10,750",,0.5,"10,950","10,950","10,700",26,"281,400","3,317,116,750",0,"308,569"
101,1529,동양3우B,"30,750",,0,"30,800","31,200","30,500",433,"13,370,550","2,758,951,500",0,"89,722"
102,1530,동일방직,"94,200",,9.8,"87,300","96,800","86,200","84,434","7,796,945,700","224,036,707,800",0.01,"2,378,309"
103,1540,안국약품,"13,800",,0,"13,650","13,900","13,500","48,171","660,837,750","179,985,396,000",0.01,"13,042,420"
104,1550,조비,"22,550",,-0.4,"22,650","23,000","22,300","38,762","879,055,200","117,084,989,450",0.01,"5,192,239"
105,1560,제일연마,"6,340",,0,"6,250","6,350","6,250","2,254","14,211,390","63,400,000,000",0,"10,000,000"
106,1570,금양,"2,360",,0.2,"2,355","2,370","2,310","23,912","56,105,545","103,953,598,600",0.01,"44,048,135"
107,1620,동국실업,920,,0.2,918,920,909,"38,166","34,955,595","60,758,706,240",0,"66,042,072"
108,1630,종근당홀딩스,"71,600",,0,"71,300","72,000","70,700","6,066","433,155,200","358,706,047,600",0.02,"5,009,861"
109,1680,대상,"27,650",,2.2,"27,150","27,800","26,950","79,846","2,188,868,050","958,017,891,250",0.06,"34,648,025"
110,1685,대상우,"13,200",,0.8,"13,100","13,200","13,050","4,666","61,219,300","18,086,943,600",0,"1,370,223"
111,1720,신영증권,"59,000",,-1,"58,800","59,200","58,600","1,597","93,948,300","553,787,983,000",0.03,"9,386,237"
